estudio,pais,cidade,site,ja_na_campanha,tem_vaga_disciplina,url_da_vaga,veto_encontrado,observacao
Artefacts Studio,França,Villeurbanne,https://www.artefacts-studio.fr/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): Artefacts Studio. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/artefacts-studio/
Asile,França,Paris,https://asile-paris.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/asile/"
Asobo Studio,França,Bordeaux,https://www.asobostudio.com/fr,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/asobo-studio/"
Asylum,França,Lyon,https://www.asylum.fr/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/asylum-r7pukaa-lyon/"
Aurora Game Studio,França,Hiersac,https://www.auroragamestudio.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/aurora-game-studio/"
Autour de Minuit,França,Paris,https://blog.autourdeminuit.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/autour-de-minuit/"
Autrechose,França,Paris,https://www.autrechose.fr/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/autrechose/"
Backlight Studio,França,Saint-Denis,https://backlight.fr/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/backlight-studio/"
BACKUP,França,Paris,https://ap-backup.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/backup/"
Batis Studio,França,Athens,https://www.batis3d.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (mailto:jobs@batis3d.com): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/batis-studio/"
Behind,França,Lyon,,nao,nao_verificado,,,Sem site publicado na ficha 3DVF. | ficha: https://3dvf.com/en/studio/behind/
Beview,França,Le Barp,https://www.beview.fr/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/beview/"
BIG COMPANY,França,Lyon,https://www.bigcompany.fr/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://www.bigcompany.fr/news-jobs/): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/big-company/"
Bizaroïd,França,Paris,https://bizaroid.tv/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/bizaroid/"
Blackmeal,França,Nantes Paris,https://blackmeal.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/blackmeal/"
Bloody bird,França,No data was found,https://www.bloodybird.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/bloody-bird/"
Blue Spirit Studios,França / Canadá,Angoulême Montréal Paris,https://www.spirit-prod.com/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): Blue Spirit. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/blue-spirit-studios/
Blue vista,França,Champagne au Mont d'Or,https://www.bluevistaprod.com/studio-animation-3d-lyon/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/blue-vista/"
Blump Studio,França,Paris,https://www.blump.fr/,nao,nao_encontrada,,,"Pagina de carreiras lida (mailto:career@blump.fr): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/blump-studio/"
Bobbypills,França,Paris,https://www.bobbypills.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/bobbypills/"
BoldBrush,França,Montpellier,https://www.boldbrushvfx.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/bold-brush/"
Borderline Films,França,Angoulême,https://borderlinefilms.fr,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/borderline-films/"
BR3DB,França,Chamalieres,https://www.br3db.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/br3db/"
Brunch studio,França,Paris,https://www.brunchstudio.tv/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://www.brunchstudio.tv/careers): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/brunch-rgmtk6nb-paris/"
Buf,França,Paris,https://buf.com/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): BUF. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/buf/
Bullit Studio,França,No data was found,https://bullit-studio.fr/,nao,nao_verificado,,,Site nao respondeu ao curl (home inacessivel); board nao pode ser lido sem navegador. | ficha: https://3dvf.com/en/studio/bullit-studio/
Busterwood,França,Paris,https://busterwood.com,nao,nao_encontrada,,,"Pagina de carreiras lida (https://busterwood.com/jobs/index.html): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/busterwood/"
Cadence Capture,França,Blanquefort,http://www.cadencecapture.com,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/cadence-capture/"
Capsule Studio,França,Paris,https://capsule.studio/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/capsule-studio/"
Caribara Animation,França,Paris,https://caribara-animation.com/,nao,nao_verificado,,,Site nao respondeu ao curl (home inacessivel); board nao pode ser lido sem navegador. | ficha: https://3dvf.com/en/studio/caribara-animation/
Carre Prod,França,Paris,,nao,nao_verificado,,,Sem site publicado na ficha 3DVF. | ficha: https://3dvf.com/en/studio/carre-prod/
CGEV,França,Paris,https://www.cgev.fr/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://www.cgev.fr/jobs): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/cgev/"
CGS,França,,,nao,nao_verificado,,,Sem site publicado na ficha 3DVF. | ficha: https://3dvf.com/en/studio/cgs/
Chouette Compagnie,França,Montreuil,https://www.chouetteco.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://www.chouetteco.com/jobs): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/chouette-compagnie/"
Circus,França,Avignon Paris,https://circus.fr/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): Circus. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/circus/
Clutch Frame,França,Montry,https://clutch-frame.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://clutch-frame.com/jobs/): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/clutch-frame/"
Corsaire VFX,França,Montpellier,,nao,nao_verificado,,,Sem site publicado na ficha 3DVF. | ficha: https://3dvf.com/en/studio/corsaire-vfx/
Cosmo Av,França,Ivry-sur-Seine,https://www.cosmoav.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/cosmo-av/"
Cousin Bizarre,França,Paris,https://cousinbizarre.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/cousin-bizarre/"
Crabs Studio,França,Juvignac,https://www.crabs-studio.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/crabs-studio/"
Creasynth,França,Saint-Nazaire,https://creasynth.com/,nao,nao_verificado,,,Site nao respondeu ao curl (home inacessivel); board nao pode ser lido sem navegador. | ficha: https://3dvf.com/en/studio/creasynth/
Cube,França,Levallois Perret,https://www.cube-creative.com/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): Cube Creative. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/cube/
Cyanide Studio,França,Nanterre,https://www.cyanide-studio.com/accueil,nao,nao_encontrada,,,"Pagina de carreiras lida (https://cyanide-studio.com/fr/nous-rejoindre/): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/cyanide-studio/"
Cyber Group Studios,França,Paris,https://www.cybergroupstudios.com/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): Cyber Group Studios. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/cyber-group-studios/
Dada ! Animation,França,Paris,https://www.dada-animation.com,nao,nao_encontrada,,,"Pagina de carreiras lida (https://www.dada-animation.com/jobs/): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/dada-animation/"
Darewise,França,Paris,https://www.darewise.com/,nao,nao_verificado,,,Site nao respondeu ao curl (home inacessivel); board nao pode ser lido sem navegador. | ficha: https://3dvf.com/en/studio/darewise/
Dark Matters,França,Tigery,https://www.darkmatters.one/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/dark-matters/"
Derrière Les Pixels,França,NICE,https://www.derrierelespixels.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/derriere-les-pixels/"
Digiblur Studio,França,Toulouse,https://digiblur-studio.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/digiblur-studio/"
Digital Banana,França,Paris,https://www.digitalbananastudio.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/digital-banana/"
Digiteyes,França,Saint Ouen,https://digiteyes.fr/,nao,nao_verificado,,,Site nao respondeu ao curl (home inacessivel); board nao pode ser lido sem navegador. | ficha: https://3dvf.com/en/studio/digiteyes/
Dlp Paris,França,Paris,https://dlpparis.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/dlp-paris/"
Don&rsquo;t Nod,França,Paris Don't Nod,https://dont-nod.com/,nao,nao_encontrada,,,ATS detectado (smartrecruiters) e consultado por API: nenhuma vaga da disciplina no retorno. | ficha: https://3dvf.com/en/studio/dont-nod/
Dontnod Entertainment,França,Paris,https://dont-nod.com/,nao,nao_encontrada,,,ATS detectado (smartrecruiters) e consultado por API: nenhuma vaga da disciplina no retorno. | ficha: https://3dvf.com/en/studio/dontnod-entertainment/
Drama Studios,França,Rennes,https://studiosdrama.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/drama-studios/"
Duck Factory,França,Issy-Les-Moulineaux,https://www.dkft.fr/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/duck-factory/"
Dwarf Animation Studio,França,PEROLS,https://www.dwarfanimation.com/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): Dwarf Animation Studio. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/dwarf-animation-perols/
Eddy,França,Paris,https://www.eddy.tv/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/eddy/"
Effigy 3D,França,Paris,https://effigy-3d.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/effigy-3d/"
EISKO,França,Paris,https://www.eisko.com/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): Eisko. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/eisko/
EJT-Labo I Promenons-nous dans les bois,França,Saint-Quirin,https://ejt-labo.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/ejt-labo-i-promenons-nous-dans-les-bois/"
Ellipse Studio Angoulême,França,Angoulême,https://www.dargaudmedia.com/fr/index.html,nao,nao_verificado,,,Site nao respondeu ao curl (home inacessivel); board nao pode ser lido sem navegador. | ficha: https://3dvf.com/en/studio/dargaud-media-ellipse-studio/
Ellipse Studio Paris,França,Paris,https://www.dargaudmedia.com/fr/index.html,nao,nao_verificado,,,Site nao respondeu ao curl (home inacessivel); board nao pode ser lido sem navegador. | ficha: https://3dvf.com/en/studio/ellipse-studio/
Epicure Studio,França,Croissy sur seine,https://www.epicure.fr/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://epicure.fr/recrutement/): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/epicure-studio/"
Ex Persona,França,Strasbourg,https://ex-persona.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://ex-persona.com/the-studio/jobs/): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/ex-persona/"
Factory,França,"Altrincham, Cheshire",https://www.factorycreate.com/,nao,nao_verificado,,,Site nao respondeu ao curl (home inacessivel); board nao pode ser lido sem navegador. | ficha: https://3dvf.com/en/studio/factory/
FAKE IT STUDIO,França,Pérenchies,https://www.fakeit.studio/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/fake-it-studio/"
Firm Studio,França,Paris,https://www.firm-studio.fr/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/firm-studio/"
Focus Home Interactive,França,Paris,https://www.focus-home.com/en-us,nao,nao_encontrada,,,ATS detectado (recruitee) e consultado por API: nenhuma vaga da disciplina no retorno. | ficha: https://3dvf.com/en/studio/focus-home-interactive/
Fokys Studio,França,Clisson,,nao,nao_verificado,,,Sem site publicado na ficha 3DVF. | ficha: https://3dvf.com/en/studio/fokys-studio/
Foliascope,França,Beaumont-Lès-Valence,https://www.foliascope.fr/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://www.foliascope.fr/jobs/job/): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/foliascope/"
Folimage,França,Valence,https://www.folimage.fr/en/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/folimage/"
Fost,França,Angoulême Paris Paris Fost Paris,https://fost.studio,nao,nao_encontrada,,,"Pagina de carreiras lida (https://fost.studio/jobs/): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/fost-paris/"
FULLSCREEN,França,Paris,https://www.fullscreen.fr,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/fullscreen/"
Fygostudio,França,Bordeaux,https://fygostudio.com,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/fygostudio/"
Gabi Production,França,Angoulême,https://www.magelis.org/annuaire-entreprises/91907/gabi-production/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/gabi-production/"
Game Atelier,França,Paris,https://www.game-atelier.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://www.game-atelier.com/careers): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/game-xlg2tqou-paris/"
Gameloft,França,Paris,,sim,nao_verificado,,,Ja conhecido pela campanha (nome): Gameloft. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/gameloft/
Gao Shan Pictures,França,Saint Gilles les bains - La Réunion,https://www.gaoshanpictures.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://www.gaoshanpictures.com/recrutement): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/gao-shan-pictures/"
Garuda VFX,França,Rennes,https://www.garudavfx.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/garuda-vfx/"
Gaumont Animation,França,Neuilly-sur-Seine,https://www.gaumont.us/,nao,nao_verificado,,,Site nao respondeu ao curl (home inacessivel); board nao pode ser lido sem navegador. | ficha: https://3dvf.com/en/studio/gaumont-animation/
Goblinz Studio,França,Yutz,https://goblinzstudio.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/goblinz-studio/"
Golaem,França,Chantepie,https://golaem.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/golaem/"
Golem Images,França,Marseille,https://www.golem-images.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/golem-images/"
Golem-Studio,França,Toulouse,https://golem-studio.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/golem-studio/"
Greebl Studio,França,Paris,http://greebl.studio,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/greebl-studio/"
Handidoo Films,França,Angoulême,https://oliviervinuesa.wixsite.com/handidoo-films,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/handidoo-films/"
Happy Flamingos,França,Paris,https://happyflamingos.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/happy-flamingos/"
Hercules,França,Puteaux,https://www.hrcls.tv/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/hercules/"
HILO3D,França,BORDEAUX,https://hilo3d.com,nao,nao_verificado,,,Site nao respondeu ao curl (home inacessivel); board nao pode ser lido sem navegador. | ficha: https://3dvf.com/en/studio/hilo3d-r5thgkkz-bordeaux/
Hocus Pocus,França,Lyon,https://hocuspocus-studio.fr/en,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): Hocus Pocus Studio. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/hocus-pocus/
Hora concept,França,Mimizan,https://horaconcept.fr/,nao,nao_verificado,,,Site nao respondeu ao curl (home inacessivel); board nao pode ser lido sem navegador. | ficha: https://3dvf.com/en/studio/hora-concept/
I-REEL,França,Bagnolet,https://www.i-reel.fr/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/i-reel/"
Iconic,França,Clichy,https://iconic.paris/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/iconic/"
IIW Studio,França,Paris,https://www.iiwstudio.fr/,nao,nao_verificado,,,Site nao respondeu ao curl (home inacessivel); board nao pode ser lido sem navegador. | ficha: https://3dvf.com/en/studio/iiw-studio/
Illogic Studios,França,Montpellier,https://www.illogicstudios.com/,sim,nao_verificado,,,Ja conhecido pela campanha (nome): Illogic. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/illogic-studios/
Illumination Studios Paris,França,Paris,https://www.illuminationstudiosparis.com/,sim,nao_verificado,,,Ja conhecido pela campanha (nome): Illumination Studios Paris (Surfacing Artist) - QUADRO ESVAZIADO. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/illumination-studios-paris/
IMA Solutions,França,Toulouse,https://ima-solutions.fr/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/ima-solutions/"
Intangibles,França,Paris,https://intangibles.fr/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://intangibles.fr/recrutement/): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/intangibles/"
Inthebox,França,Annecy,https://www.inthebox.pro/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/in-the-box/"
Irrational Studio,França,Paris,https://irrational.tv/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/irrational-studio/"
J3DMODDING,França,Uzès,https://j3dmodding.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/j3dmodding-plc7y4bgd-uzes/"
Je suis bien content,França,Montreuil,https://jsbc.fr/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/je-suis-bien-content/"
JOKYO Images,França,Lyon,https://www.jokyo-images.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/jokyo-images/"
JPL Films,França,Rennes,https://jplfilms.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/jpl-films/"
Kalank,França,Angoulême,https://kalank.fr/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/kalank/"
Karlab,França,Montpellier,https://www.karlab.fr/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/karlab/"
Kawanimation,França,Bordeaux,http://www.kawanimation.com,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/kawanimation/"
Kingsize,França,Paris,https://www.atlantistv.fr/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://www.atlantistv.fr/emissions/les-plus-belles-vacances/): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/kingsize/"
Kreaction,França,Vannes,https://www.kreaction.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://www.kreaction.com/offres-emploi-artiste-3d-vannes-39.html): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/kreaction/"
L&rsquo;Autre Image,França,Paris L'Autre Image,https://www.autreimage.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://www.autreimage.com/jobs/): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/lautre-image/"
L&rsquo;Horda,França,Pérols L'Horda,https://www.lhorda-studio.com/,nao,nao_verificado,,,Site nao respondeu ao curl (home inacessivel); board nao pode ser lido sem navegador. | ficha: https://3dvf.com/en/studio/lhorda/
La Cabane Productions,França,Paris,https://lacabaneproductions.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (mailto:jobs@lacabaneproductions.com): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/la-cabane-productions/"
La planète rouge,França,Marseille,https://www.laplaneterouge.fr/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/la-planete-rouge/"
La Pompadour,França,Nantes,https://www.lapompadour.tv/motion-design-nantes/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/la-pompadour/"
La Poule Noire,França,Angoulême,https://www.lapoulenoire.fr/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/la-poule-noire/"
La Station Animation,França,Paris,https://www.lastationanimation.com/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): La Station Animation. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/la-station-animation/
LaFabric3D,França,Avrillé,https://lafabric3d.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/lafabric3d/"
Lagoon Studios,França,Ivry sur seine,https://www.lagoonstudios.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/lagoon-studios/"
Lampyre 3D,França,Montpellier,https://www.lampyre.net/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/lampyre-h61g4l0rt-montpellier/"
LE BIG SHOT,França,IVRY-SUR-SEINE,http://www.lebigshot.com,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/le-big-shot/"
Le Labo Blanc,França,Paris,http://www.lelaboblanc.paris,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/le-labo-blanc/"
Les Androids associés,França,Paris,https://www.androids.fr/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/les-androids-associes/"
Les films du poisson rouge,França,Angouleme,https://lesfilmsdupoissonrouge.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/les-films-du-poisson-rouge/"
Les images mécaniques,França,Lyon,https://images-mecaniques.fr/,nao,nao_verificado,,,Site nao respondeu ao curl (home inacessivel); board nao pode ser lido sem navegador. | ficha: https://3dvf.com/en/studio/les-mbd0tux-lyon/
Les Tontons Truqueurs,França,Vendargues,https://www.lestontonstruqueurs.com/,nao,nao_verificado,,,Site nao respondeu ao curl (home inacessivel); board nao pode ser lido sem navegador. | ficha: https://3dvf.com/en/studio/les-tontons-truqueurs/
LS GROUP (ex Light And Shadows),França,Suresnes,https://www.ls-group.fr/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://www.ls-group.fr/careers): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/ls-zygdgg66-suresnes/"
Lux Motion,França,Le val d'Hazey,https://www.luxmotion.design,nao,nao_verificado,,,Site nao respondeu ao curl (home inacessivel); board nao pode ser lido sem navegador. | ficha: https://3dvf.com/en/studio/lux-dnumccgm-le-val-dhazey/
